,Annual_salary,Age,Experience_years,Sex_F,Sex_M,Race_AMIND,Race_ASIAN,Race_BLACK,Race_HISPA,Race_WHITE,"Job_title_Captain, Public Safety",Job_title_Corporal,Job_title_Director IV,Job_title_Director VI,Job_title_Director VII,"Job_title_Lieutenant, Public Safety","Job_title_Major, Public Safety",Job_title_Probationary Trooper,"Job_title_Sergeant, Public Safety",Job_title_Trooper
93,53241.96,25,4.977514938705107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
94,79323.0,48,25.17231702225234,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
95,53241.96,25,4.479215863433199,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
96,69540.96,43,12.260347577294537,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,53241.96,28,3.808428646721014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
98,75967.92,48,18.56300950738208,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
99,84390.96,40,22.204425826676797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
100,53241.96,26,4.977514938705107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
101,53241.96,29,4.805026797264831,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,77638.92,34,12.758646652566446,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
103,53241.96,32,3.808428646721014,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104,95191.92,47,23.277685373416293,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
105,72612.96,51,18.19886787545261,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
106,79323.0,64,17.254289958041575,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
107,95191.92,48,23.274947466409305,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
108,86494.92,51,22.45357536431275,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
109,64918.92,35,4.479215863433199,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,64918.92,29,9.37733149893564,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
111,77638.92,32,11.26374942675072,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
112,53241.96,28,5.974113089248924,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
113,75967.92,47,18.58765067044498,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
114,53241.96,31,4.306727721992923,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115,53241.96,32,3.4826177128893816,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
116,53241.96,35,5.475814013977015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
117,64918.92,28,6.472412164520832,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
118,53241.96,29,4.977514938705107,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
119,86494.92,51,23.277685373416293,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
120,53241.96,31,4.805026797264831,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
121,75967.92,40,18.98464718645831,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
122,53241.96,31,3.808428646721014,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
123,72612.96,38,16.91752739618199,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,69540.96,38,13.946898293599459,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
125,53241.96,43,5.475814013977015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
126,64918.92,37,7.945406134280649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127,53241.96,25,4.306727721992923,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
128,75967.92,48,22.204425826676797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
129,72612.96,46,16.244002272462815,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
130,69540.96,32,10.401308719549341,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
131,64918.92,28,7.469010315064649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
132,79323.0,47,25.862269588013444,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
133,53241.96,23,3.808428646721014,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
134,72612.96,46,17.840202057537116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
135,72612.96,39,16.244002272462815,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
136,64918.92,31,6.970711239792741,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
137,64918.92,29,7.469010315064649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
138,84390.96,40,18.98464718645831,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
139,75967.92,49,19.33509928335284,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
140,75967.92,47,20.287890921784843,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
141,72711.0,37,9.826348248081754,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
142,79323.0,61,14.505431323025114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
143,84390.96,45,19.233796724094265,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
144,53241.96,23,3.98091678816129,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
145,53241.96,25,4.479215863433199,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
146,79323.0,47,23.96490003217041,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
147,69540.96,56,13.916781316522584,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
148,64918.92,28,7.945406134280649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
149,72612.96,40,17.840202057537116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
150,72612.96,41,11.79490338610649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
151,53241.96,35,4.977514938705107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
152,53241.96,23,4.306727721992923,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
153,69540.96,35,12.758646652566446,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
154,72612.96,48,17.221435073957714,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
155,53241.96,28,5.974113089248924,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
156,53241.96,34,4.306727721992923,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
157,77638.92,32,11.395168963086169,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
158,77638.92,48,10.516300813842857,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
159,72612.96,40,17.840202057537116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
160,69540.96,47,13.946898293599459,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
161,69540.96,38,11.762048502022628,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
162,84390.96,41,18.58765067044498,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
163,69540.96,40,12.890066188901894,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
164,53241.96,33,4.977514938705107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
165,53241.96,27,4.805026797264831,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
166,77638.92,43,13.916781316522584,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
167,86494.92,50,26.95469448380186,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
168,53241.96,28,4.479215863433199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
169,72612.96,49,17.298096470153393,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
170,69540.96,40,20.78618999705675,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
171,72612.96,42,17.840202057537116,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
172,64918.92,28,7.945406134280649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
173,79323.0,56,27.962244262373627,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
174,69540.96,37,12.260347577294537,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
175,79323.0,66,12.671033628342814,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
176,64918.92,42,6.472412164520832,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
177,69540.96,35,13.946898293599459,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
178,72612.96,42,17.840202057537116,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
179,53241.96,25,4.306727721992923,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
180,53241.96,31,3.808428646721014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
181,72612.96,53,17.840202057537116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
182,75967.92,42,21.26532372327974,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
183,79323.0,47,27.26134006858457,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
184,84390.96,50,22.204425826676797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
185,72711.0,31,10.401308719549341,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
186,72711.0,31,7.945406134280649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
187,64918.92,28,7.469010315064649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
188,44082.0,33,2.9843186376174735,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
189,75967.92,46,18.98464718645831,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
190,69540.96,34,10.4588047666961,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
191,72612.96,38,14.828504349849757,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
192,64918.92,30,8.443705209552558,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
